Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
2001.0,Kristine Kathryn Rusch,,The Retrieval Artist,Analog Science Fiction and Fact,,,,,,,,,,,
2001.0,Greg Egan,,Oracle,Asimov's Science Fiction,,,,,,,,,,,
2001.0,Ted Chiang,,Seventy-Two Letters,Vanishing Acts (Tor Books),In progress,,,,,,,,,,
2001.0,Lucius Shepard,,Radiant Green Star,Asimov's Science Fiction,,,,,,,,,,,
2000.0,Connie Willis,Winner,The Winds of Marble Arch,Asimov's Science Fiction,,,,,,,,,,,
2000.0,Harry Turtledove,,"Forty, Counting Down",Asimov's Science Fiction,,,,,,,,,,,
2000.0,Adam-Troy Castro/Jerry Oltion,,The Astronaut from Wyoming,Analog Science Fiction and Fact,,,,,,,,,,,
2000.0,Mike Resnick,,Hunting the Snark,Asimov's Science Fiction,,,,,,,,,,,
2000.0,Kage Baker,,Son Observe the Time,Asimov's Science Fiction,,,,,,,,,,,
1999.0,Greg Egan,Winner,Oceanic,Asimov's Science Fiction,,,,,,,,,,,
1999.0,Catherine Asaro,,Aurora in Four Voices,Analog Science Fiction and Fact,,,,,,,,,,,
1999.0,Ted Chiang,,Story of Your Life,Starlight #2 (Tor Books),Read,,,,,,,,,,
1999.0,Terry Bisson,,Get Me to the Church on Time,Asimov's Science Fiction,,,,,,,,,,,
1999.0,Ian R. MacLeod,,The Summer Isles,Asimov's Science Fiction,,,,,,,,,,,
1998.0,Allen Steele,Winner,...Where Angels Fear to Tread,Asimov's Science Fiction,,,,,,,,,,,
1998.0,Adam-Troy Castro,,The Funeral March of the Marionettes,Fantasy & Science Fiction,,,,,,,,,,,
1998.0,Geoffrey A. Landis,,Ecopoiesis,SF Age,,,,,,,,,,,
1998.0,Paul Levinson,,Loose Ends,Analog Science Fiction and Fact,,,,,,,,,,,
1998.0,Robert Reed,,Marrow,SF Age,,,,,,,,,,,
1997.0,George R. R. Martin,Winner,Blood of the Dragon,Asimov's Science Fiction,,,,,,,,,,,
1997.0,Jack McDevitt,,Time Travelers Never Die,Asimov's Science Fiction,,,,,,,,,,,
1997.0,Gregory Benford,,Immersion,SF Age,,,,,,,,,,,
1997.0,Jerry Oltion,,Abandon in Place,Fantasy & Science Fiction,,,,,,,,,,,
1997.0,Mary Rosenblum,,Gas Fish,Asimov's Science Fiction,,,,,,,,,,,
1997.0,Maureen F. McHugh,,The Cost to Be Wise,Starlight #1 (Tor Books),,,,,,,,,,,
1996.0,Allen Steele,Winner,The Death of Captain Future,Asimov's Science Fiction,,,,,,,,,,,
1996.0,Ursula K. Le Guin,,A Woman's Liberation,Asimov's Science Fiction,,,,,,,,,,,
1996.0,Mike Resnick/Susan Shwartz,,Bibi,Asimov's Science Fiction,,,,,,,,,,,
1996.0,Ursula K. Le Guin,,A Man of the People,Asimov's Science Fiction,,,,,,,,,,,
1996.0,Nancy Kress,,Fault Lines,Asimov's Science Fiction,,,,,,,,,,,
1995.0,Mike Resnick,Winner,Seven Views of Olduvai Gorge,Fantasy & Science Fiction,,,,,,,,,,,
1995.0,Brian Stableford,,Les Fleurs du Mal,Asimov's Science Fiction,,,,,,,,,,,
1995.0,Ursula K. Le Guin,,Forgiveness Day,Asimov's Science Fiction,,,,,,,,,,,
1995.0,Michael Bishop,,Cri de Coeur,Asimov's Science Fiction,,,,,,,,,,,
1995.0,Michael F. Flynn,,Melodies of the Heart,Analog Science Fiction and Fact,,,,,,,,,,,
1994.0,Harry Turtledove,Winner,Down in the Bottomlands,Analog Science Fiction and Fact,,,,,,,,,,,
1994.0,Walter Jon Williams,,"Wall, Stone, Craft",Fantasy & Science Fiction,,,,,,,,,,,
1994.0,G. David Nordley,,Into the Miranda Rift,Analog Science Fiction and Fact,,,,,,,,,,,
1994.0,Jack Cady,,The Night We Buried Road Dog,Fantasy & Science Fiction,,,,,,,,,,,
1994.0,Pat Murphy,,An American Childhood,Asimov's Science Fiction,,,,,,,,,,,
1994.0,Harlan Ellison,,Mefisto In Onyx,Omni,,,,,,,,,,,
1993.0,Lucius Shepard,Winner,Barnacle Bill the Spacer,Asimov's Science Fiction,,,,,,,,,,,
1993.0,Frederik Pohl,,Stopping at Slowyear,Bantam Spectra,,,,,,,,,,,
1993.0,Maureen F. McHugh,,Protection,Asimov's Science Fiction,,,,,,,,,,,
1993.0,Jonathan Carroll,,Uh-Oh City,Fantasy & Science Fiction,,,,,,,,,,,
1993.0,Bradley Denton,,The Territory,Fantasy & Science Fiction,,,,,,,,,,,
1992.0,Nancy Kress,Winner,Beggars in Spain,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Kristine Kathryn Rusch,,The Gallery of His Dreams,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Connie Willis,,Jack,Asimov's Science Fiction,,,,,,,,,,,
1992.0,Michael Swanwick,,Griffin's Egg,St. Martin's Press,,,,,,,,,,,
1992.0,Nancy Kress,,And Wild for to Hold,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Joe Haldeman,Winner,The Hemingway Hoax,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Mike Resnick,,Bully!,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Kim Stanley Robinson,,"A Short, Sharp Shock",Asimov's Science Fiction,,,,,,,,,,,
1991.0,Pat Murphy,,Bones,Asimov's Science Fiction,,,,,,,,,,,
1991.0,Pat Cadigan,,Fool to Believe,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Lois McMaster Bujold,Winner,The Mountains of Mourning,Analog Science Fact & Fiction,,,,,,,,,,,
1990.0,Lucius Shepard,,The Father of Stones,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Megan Lindholm,,A Touch of Lavender,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Connie Willis,,Time-Out,Asimov's Science Fiction,,,,,,,,,,,
1990.0,Judith Moffett,,Tiny Tango,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Connie Willis,Winner,The Last of the Winnebagos,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Lucius Shepard,,The Scalehunter's Beautiful Daughter,Asimov's Science Fiction,,,,,,,,,,,
1989.0,Norman Spinrad,,Journals of the Plague Years,Full Spectrum (Doubleday),,,,,,,,,,,
1989.0,Bradley Denton,,The Calvin Coolidge Home for Dead Comedians,Fantasy & Science Fiction,,,,,,,,,,,
1989.0,Walter Jon Williams,,Surfacing,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Orson Scott Card,Winner,Eye for Eye,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Robert Silverberg,,The Secret Sharer,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Kim Stanley Robinson,,The Blind Geometer,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Kim Stanley Robinson,,Mother Goddess of the World,Asimov's Science Fiction,,,,,,,,,,,
1988.0,Michael F. Flynn,,The Forest of Time,Analog Science Fact & Fiction,,,,,,,,,,,
1987.0,Robert Silverberg,Winner,Gilgamesh in the Outback,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Kim Stanley Robinson,,Escape from Kathmandu,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Lucius Shepard,,R&R,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Connie Willis,,Spice Pogrom,Asimov's Science Fiction,,,,,,,,,,,
1987.0,Michael F. Flynn,,Eifelheim,Analog Science Fact & Fiction,,,,,,,,,,,
1986.0,Roger Zelazny,Winner,"24 Views of Mt. Fuji, by Hokusai",Asimov's Science Fiction,,,,,,,,,,,
1986.0,Robert Silverberg,,Sailing to Byzantium,Asimov's Science Fiction,,,,,,,,,,,
1986.0,"James Tiptree, Jr.",,The Only Neat Thing to Do,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1986.0,Kim Stanley Robinson,,Green Mars,Asimov's Science Fiction,,,,,,,,,,,
1986.0,C. J. Cherryh,,The Scapegoat,Alien Stars (Baen Books),,,,,,,,,,,
1985.0,John Varley,Winner,Press Enter,Asimov's Science Fiction,,,,,,,,,,,
1985.0,David Brin,,Cyclops,Asimov's Science Fiction,,,,,,,,,,,
1985.0,Joseph H. Delaney/Marc Stiegler,,Valentina,Analog Science Fact & Fiction,,,,,,,,,,,
1985.0,Charles L. Harness,,Summer Solstice,Analog Science Fact & Fiction,,,,,,,,,,,
1985.0,Geoffrey A. Landis,,Elemental,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Timothy Zahn,Winner,Cascade Point,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Greg Bear,,Hardfought,Asimov's Science Fiction,,,,,,,,,,,
1984.0,Joseph H. Delaney,,In the Face of My Enemy,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,David R. Palmer,,Seeking,Analog Science Fact & Fiction,,,,,,,,,,,
1984.0,Hilbert Schenck,,Hurricane Claude,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,Joanna Russ,Winner,Souls,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,David Brin,,The Postman,Asimov's Science Fiction,,,,,,,,,,,
1983.0,George R. R. Martin,,Unsound Variations,Amazing Stories,,,,,,,,,,,
